AttributeName	PointBiserialCoefficient	MannWhitneyTest_pval	Min	Max	Median	Mean
SV_start	-0.04745410837806838	0.0	10000.0	248703919.0	53278953.5	68601068.880302
SV_end	0.006065065376901565	0.0	27961.0	248930485.0	55381946.0	71074365.19282322
SV_length	-0.32283325396965395	0.0	-159520087.0	-999.0	-72237.0	-2473296.312521208
Unnamed: 0	-0.21332713983240312	0.0	3042.0	54248.0	38531.5	36766.27706141839
Unnamed: 0.1	-0.21332713983240312	0.0	3042.0	54248.0	38531.5	36766.27706141839
id	-0.15476363772989365	0.0	41935714.0	51979063.0	51035747.5	50701106.95054293
start_grch37	-0.05371024420147527	0.0	1.0	248867220.0	54184847.0	69166953.16935767
stop_grch37	-0.0001397346365996973	0.0	30571.0	249224684.0	56102076.0	71636211.15391365
start_ncbi36	0.0019498469277979564	0.0	1.0	246822868.0	41583360.5	64109150.287573196
stop_ncbi36	0.0557387756313361	0.0	22412.0	247191307.0	46886615.0	69547303.26870526
length	0.32283325396965395	0.0	1000.0	159520088.0	72238.0	2473297.312521208
DGV_GAIN_n_samples_with_SV	-0.02595575908090373	0.0	0.0	4900.0	0.0	59.30963691890058
DGV_GAIN_n_samples_tested	-0.13606377522113655	0.0	0.0	25160.0	0.0	3106.9512215812692
DGV_GAIN_Frequency	-0.18731663252212885	0.0	-1.0	1.01428571	-1.0	-0.7880948095639633
DGV_LOSS_n_samples_with_SV	-0.15550679210045956	0.0	0.0	11194.0	0.0	93.27265015269766
DGV_LOSS_n_samples_tested	-0.276345379548694	0.0	0.0	30151.0	0.0	4952.229300984051
DGV_LOSS_Frequency	-0.3670313839631108	0.0	-1.0	1.5	-1.0	-0.6447826009263657
GD_AF	-0.2985679067494653	0.0	-1.0	0.7227140069007874	-1.0	-0.6862165393395687
GD_POPMAX_AF	-0.29979950640708863	0.0	-1.0	0.9209340214729308	-1.0	-0.6822709502802989
1000g_AF	-0.322220197639121	0.0	-1.0	0.997604	-1.0	-0.7659353610137428
1000g_max_AF	-0.3220139233747118	0.0	-1.0	1.0	-1.0	-0.7601175008483204
IMH_AF	-0.3364234094095891	0.0	-1.0	0.7641	-1.0	-0.7278651288250764
HI_DDDpercent	0.35253801878191904	0.0	0.04	99.99	74.44	62.154870290705254
synZ_ExAC	0.5288115449835857	0.0	-7.25789957844301	4.5594006586838205	0.9706677413260401	0.99463373988851
misZ_ExAC	0.5736852172103553	0.0	-8.72634630024946	13.8347841181947	2.7193305580428797	2.518786094558688
pLI_ExAC	0.5569386879977134	8.214873514502833e-50	9.171414604631853e-83	0.999999999999999	0.9764128727477058	0.6584383182598984
delZ_ExAC	0.29481287997378053	8.309315409841485e-261	-2.62354415217069	3.81305866495071	0.545296990646531	0.1823388209282373
dupZ_ExAC	0.28731943201660837	0.0	-2.53125239294469	2.8635851780584	0.331001753343709	0.07839656683892858
cnvZ_ExAC	0.29806155099905873	0.0	-2.47162789907313	3.02194843303613	0.330868611779845	0.050203869048966086
HI_CGscore	0.5513770334351621	1.0991645424587563e-14	1.0	3.0	3.0	2.9045604137282557
TriS_CGscore	0.5132201643564236	0.020334848140327298	1.0	3.0	3.0	2.3856209150326797
AnnotSV ranking	0.7372601281840664	0.0	1.0	5.0	4.0	3.528249066847642
gene_count	0.38597338329099684	0.0	0.0	1339.0	1.0	23.461231761112995
promoters_count	0.3857962064758652	0.0	0.0	1339.0	1.0	22.941465897522903
morbidGene_count	0.32696701604550654	0.0	0.0	197.0	0.0	2.88556158805565
ExAC_zScore_indel	0.23672358720624959	0.0	-10.0	3.81305866495071	0.0	-2.2188941767842403
ExAc_zScore_cnv	0.23090699227313438	0.0	-10.0	3.02194843303613	0.0	-2.291440629834614
ExAC_zScore_pLI	0.2917290419911564	0.0	0.0	214.0	0.0	2.7315914489311166
HI_DDDperc_haploinsufficient_gene_count	-0.03588714528740529	0.0	0.0	1.0	0.0	0.08941296233457753
CGscore_indel_gene_count	0.5400231538536986	0.0	0.0	1.0	0.0	0.17314217848659655
CGscore_indel_gene_count_2	0.5400231538536986	0.0	0.0	1.0	0.0	0.17314217848659655
min_D_Frequency_2	-0.17959340040889066	0.0	-1.0	1.0	-1.0	-0.84829591510604
min_D_Frequency_3	-0.3670313839631108	0.0	-1.0	1.5	-1.0	-0.6447826009263657
